Date,Open,High,Low,Close,Volume
2025-01-02,5985.50,6012.25,5978.40,6005.80,3750000000
2025-01-03,6008.20,6025.75,5995.60,6018.45,3650000000
2025-01-06,6020.80,6038.90,6014.25,6032.15,3850000000
2025-01-07,6034.60,6052.40,6028.75,6048.20,4100000000
2025-01-08,6050.75,6068.30,6045.20,6061.85,4050000000
2025-01-09,6063.40,6078.15,6055.80,6072.50,3950000000
2025-01-10,6074.20,6089.65,6068.40,6085.30,4200000000
2025-01-13,6087.80,6102.20,6082.15,6098.75,4350000000
2025-01-14,6100.40,6115.80,6095.20,6110.60,4250000000
2025-01-15,6112.30,6128.45,6107.85,6122.90,4400000000
2025-01-16,6124.75,6138.60,6119.30,6135.25,4150000000
2025-01-17,6137.80,6151.90,6132.40,6148.50,4300000000
2025-01-21,6150.20,6162.75,6145.60,6159.85,4000000000
2025-01-22,6161.40,6175.30,6156.80,6170.95,4200000000
2025-01-23,6172.60,6184.25,6167.90,6181.40,4100000000
2025-01-24,6183.15,6192.80,6178.50,6188.65,3950000000
2025-01-27,6190.30,6198.45,6185.70,6194.20,3850000000
2025-01-28,6195.80,6202.90,6191.25,6199.75,4050000000
2025-01-29,6201.40,6215.60,6198.80,6210.85,5200000000
2025-01-30,6212.50,6225.40,6208.15,6220.30,4800000000
2025-01-31,6222.85,6235.70,6218.60,6040.00,4650000000
2025-02-03,6042.30,6058.90,6035.75,6051.45,4200000000
2025-02-04,6053.20,6068.85,6047.60,6062.10,4100000000
2025-02-05,6064.75,6082.40,6059.30,6078.55,4350000000
2025-02-06,6080.20,6095.60,6075.40,6090.80,4250000000
2025-02-07,6092.45,6108.20,6087.90,6105.35,4400000000
2025-02-10,6107.80,6121.50,6102.60,6118.25,4150000000
2025-02-11,6120.90,6134.75,6115.40,6130.60,4300000000
2025-02-12,6132.25,6145.80,6127.70,6142.15,4200000000
2025-02-13,6144.60,6158.30,6139.90,6155.45,4500000000
2025-02-14,6157.20,6170.85,6152.40,6168.70,4350000000
2025-02-18,6170.30,6182.95,6165.80,6179.20,4250000000
