Date,Open,High,Low,Close,Volume
2025-01-02,5985.00,6012.25,5978.40,6005.80,3750000000
2025-01-03,6008.20,6025.75,5995.60,6018.45,3650000000
2025-01-06,6020.80,6038.90,6014.25,6032.15,3850000000
2025-01-07,6034.60,6052.40,6028.75,6048.20,4100000000
2025-01-08,6050.75,6068.30,6045.20,6061.85,4050000000
2025-01-09,6063.40,6078.15,6055.80,6072.50,3950000000
2025-01-10,6074.20,6089.65,6068.40,6085.30,4200000000
2025-01-13,6087.80,6102.20,6082.15,6098.75,4350000000
2025-01-14,6100.40,6115.80,6095.20,6110.60,4250000000
2025-01-15,6112.30,6128.45,6107.85,6122.90,4400000000
2025-01-16,6124.75,6138.60,6119.30,6135.25,4150000000
2025-01-17,6137.80,6151.90,6132.40,6148.50,4300000000
2025-01-21,6150.20,6162.75,6145.60,6159.85,4000000000
2025-01-22,6161.40,6175.30,6156.80,6170.95,4200000000
2025-01-23,6172.60,6184.25,6167.90,6181.40,4100000000
2025-01-24,6183.15,6192.80,6178.50,6188.65,3950000000
2025-01-27,6190.30,6198.45,6185.70,6194.20,3850000000
2025-01-28,6195.80,6202.90,6191.25,6199.75,4050000000
2025-01-29,6201.40,6215.60,6198.80,6210.85,5200000000
2025-01-30,6212.50,6225.40,6208.15,6220.30,4800000000
2025-01-31,6222.85,6235.70,6218.60,6228.45,4650000000
2025-02-03,6230.80,6242.15,6225.30,6238.90,4200000000
2025-02-04,6240.20,6251.85,6235.60,6247.10,4100000000
2025-02-05,6248.75,6259.40,6243.30,6254.55,4350000000
2025-02-06,6256.20,6267.60,6251.40,6262.80,4250000000
2025-02-07,6264.45,6275.20,6259.90,6270.35,4400000000
2025-02-10,6272.80,6283.50,6267.60,6278.25,4150000000
2025-02-11,6280.90,6291.75,6275.40,6286.60,4300000000
2025-02-12,6288.25,6150.00,6127.70,6144.15,4200000000
2025-02-13,6144.60,6158.30,6139.90,6155.45,4500000000
2025-02-14,6157.20,6170.85,6152.40,6168.70,4350000000
2025-02-18,6170.30,6182.95,6165.80,6179.20,4250000000
2025-02-19,6181.75,6194.15,6176.50,6192.85,4800000000
2025-02-20,6194.40,6208.60,6189.70,6205.25,4600000000
2025-02-21,6207.80,6220.45,6202.90,6215.15,4400000000
2025-02-24,6217.60,6228.20,6212.85,6224.50,4200000000
2025-02-25,6226.15,6237.80,6221.40,6233.25,4300000000
2025-02-26,6235.70,6246.35,6230.90,6242.40,4150000000
2025-02-27,6244.85,6255.50,6239.20,6250.60,4250000000
2025-02-28,6252.30,6263.95,6247.45,6258.80,4400000000
2025-03-03,6260.25,6271.90,6255.60,6267.15,4200000000
2025-03-04,6268.70,6279.35,6263.90,6275.50,4300000000
2025-03-05,6277.15,6288.80,6272.40,6284.75,4150000000
2025-03-06,6286.40,6298.05,6281.65,6294.20,4250000000
2025-03-07,6296.75,6308.40,6291.90,6304.65,4350000000
2025-03-10,6306.30,6317.95,6301.55,6313.10,4200000000
2025-03-11,6315.65,6327.30,6310.85,6322.55,4300000000
2025-03-12,6324.20,6335.85,6319.40,6331.00,4150000000
2025-03-13,6332.55,6344.20,6327.75,6339.45,4250000000
2025-03-14,6341.10,6352.75,6336.30,6347.90,4200000000
2025-03-17,6349.45,6361.10,6344.65,6356.35,4100000000
2025-03-18,6358.00,6369.65,6353.20,6364.80,4200000000
2025-03-19,6366.35,6378.00,6361.55,6373.25,5400000000
2025-03-20,6374.80,6386.45,6369.95,6381.70,4800000000
2025-03-21,6383.25,6394.90,6378.45,6390.15,4600000000
2025-03-24,6391.70,6403.35,6386.90,6398.60,4400000000
2025-03-25,6400.15,6411.80,6395.35,6407.05,4300000000
2025-03-26,6408.60,6420.25,6403.80,6415.50,4250000000
2025-03-27,6417.05,6428.70,6412.25,6423.95,4200000000
2025-03-28,6425.50,6437.15,6420.70,6432.40,4150000000
2025-03-31,6433.95,6445.60,6429.15,6440.85,4300000000
2025-04-01,6442.40,6454.05,6437.60,6449.30,4200000000
2025-04-02,6451.85,6463.50,5846.40,5850.75,8500000000
2025-04-03,5848.20,5892.85,5720.30,5762.45,9200000000
2025-04-04,5760.90,5810.55,5650.25,5698.80,8800000000
2025-04-07,5696.35,5745.00,5580.90,5624.15,9500000000
2025-04-08,5621.70,5670.35,4982.77,5124.50,12500000000
2025-04-09,4826.95,5314.30,4818.75,5213.85,15800000000
2025-04-10,5216.40,5365.05,5198.20,5252.70,7200000000
2025-04-11,5255.25,5403.90,5237.15,5289.35,6800000000
2025-04-14,5291.80,5440.45,5273.70,5326.90,6200000000
2025-04-15,5329.45,5478.10,5311.35,5364.55,5900000000
2025-04-16,5367.10,5515.75,5349.00,5402.20,5650000000
2025-04-17,5404.75,5553.40,5386.65,5439.85,5500000000
2025-04-21,5442.40,5591.05,5424.30,5477.50,5350000000
2025-04-22,5480.05,5628.70,5461.95,5515.15,5200000000
2025-04-23,5517.70,5666.35,5499.60,5552.80,5100000000
2025-04-24,5555.35,5704.00,5537.25,5590.45,5000000000
2025-04-25,5592.00,5740.65,5574.90,5628.10,4900000000
2025-04-28,5630.65,5779.30,5612.55,5665.75,4800000000
2025-04-29,5668.30,5816.95,5650.20,5703.40,4700000000
2025-04-30,5705.95,5854.60,5687.85,5741.05,4650000000
2025-05-01,5743.60,5892.25,5725.50,5778.70,4600000000
2025-05-02,5781.25,5929.90,5763.15,5816.35,4550000000
2025-05-05,5818.90,5967.55,5800.80,5854.00,4500000000
2025-05-06,5856.55,6005.20,5838.45,5891.65,4450000000
2025-05-07,5894.20,6042.85,5876.10,5929.30,5800000000
2025-05-08,5931.85,6080.50,5913.75,5966.95,5200000000
2025-05-09,5969.50,6118.15,5951.40,6004.60,4900000000
2025-05-12,6007.15,6155.80,5989.05,6042.25,4750000000
2025-05-13,6044.80,6193.45,6026.70,6079.90,4650000000
2025-05-14,6082.45,6131.10,6064.35,6117.55,7200000000
2025-05-15,6120.10,6168.75,6101.00,6155.20,5800000000
2025-05-16,6157.75,6206.40,6138.65,6192.85,5400000000
2025-05-19,6195.40,6244.05,6176.30,6230.50,5100000000
2025-05-20,6233.05,6281.70,6213.95,6268.15,4950000000
2025-05-21,6270.70,6319.35,6251.60,6305.80,4850000000
2025-05-22,6308.35,6357.00,6289.25,6343.45,4750000000
2025-05-23,6345.90,6394.55,6326.80,6381.10,4700000000
2025-05-27,6383.65,6432.30,6364.55,6418.75,4200000000
2025-05-28,6421.30,6469.95,6402.20,6456.40,4250000000
2025-05-29,6458.95,6507.60,6439.85,6494.05,4200000000
2025-05-30,6496.60,6545.25,6477.50,6531.70,4150000000
2025-06-02,6534.25,6582.90,6515.15,6400.00,4600000000 
