Date,VIX
2024-06-25,13.48
2024-06-26,12.81
2024-06-27,12.69
2024-06-28,12.24
2024-07-01,12.98
2024-07-02,12.67
2024-07-03,12.13
2024-07-05,12.37
2024-07-08,12.91
2024-07-09,12.48
2024-07-10,12.51
2024-07-11,12.88
2024-07-12,12.87
2024-07-15,12.78
2024-07-16,13.38
2024-07-17,13.6
2024-07-18,14.27
2024-07-19,16.44
2024-07-22,16.79
2024-07-23,15.21
2024-07-24,15.35
2024-07-25,18.41
2024-07-26,17.97
2024-07-29,16.59
2024-07-30,16.64
2024-07-31,16.66
2024-08-01,16.2
2024-08-02,20.52
2024-08-05,23.39
2024-08-06,33.71
2024-08-07,24.77
2024-08-08,28.34
2024-08-09,23.78
2024-08-12,20.79
2024-08-13,20.06
2024-08-14,18.41
2024-08-15,16.27
2024-08-16,15.29
2024-08-19,15.94
2024-08-20,14.89
2024-08-21,16.25
2024-08-22,16.27
2024-08-23,17.12
2024-08-26,16.27
2024-08-27,16.21
2024-08-28,15.51
2024-08-29,16.54
2024-08-30,15.67
2024-09-03,15.76
2024-09-04,23.2
2024-09-05,20.75
2024-09-06,21.98
2024-09-09,21.32
2024-09-10,19.86
2024-09-11,19.41
2024-09-12,17.62
2024-09-13,17.03
2024-09-16,17.16
2024-09-17,17.16
2024-09-18,17.58
2024-09-19,17.21
2024-09-20,16.35
2024-09-23,16.71
2024-09-24,15.87
2024-09-25,15.82
2024-09-26,15.06
2024-09-27,15.64
2024-09-30,17.01
2024-10-01,16.96
2024-10-02,19.65
2024-10-03,19.63
2024-10-04,20.48
2024-10-07,20.76
2024-10-08,22.92
2024-10-09,21.98
2024-10-10,20.91
2024-10-11,20.87
2024-10-14,20.86
2024-10-15,19.61
2024-10-16,20.77
2024-10-17,19.55
2024-10-18,19.3
2024-10-21,18.78
2024-10-22,18.79
2024-10-23,18.21
2024-10-24,18.87
2024-10-25,19.22
2024-10-28,19.11
2024-10-29,19.75
2024-10-30,19.33
2024-10-31,21.44
2024-11-01,22.96
2024-11-04,22.5
2024-11-05,21.98
2024-11-06,16.06
2024-11-07,15.86
2024-11-08,15.13
2024-11-11,15.33
2024-11-12,15.09
2024-11-13,15.09
2024-11-14,14.17
2024-11-15,15.02
2024-11-18,16.6
2024-11-19,15.44
2024-11-20,16.19
2024-11-21,17.1
2024-11-22,16.67
2024-11-25,15.23
2024-11-26,14.95
2024-11-27,14.28
2024-11-29,14
2024-12-02,14.08
2024-12-03,13.38
2024-12-04,13.16
2024-12-05,13.46
2024-12-06,13.62
2024-12-09,13.36
2024-12-10,14.3
2024-12-11,14.42
2024-12-12,13.73
2024-12-13,13.57
2024-12-16,14.37
2024-12-17,14.98
2024-12-18,15.57
2024-12-19,21.61
2024-12-20,24.14
2024-12-23,18.09
2024-12-24,16.97
2024-12-26,14.99
2024-12-27,15.38
2024-12-30,17.21
2024-12-31,17.39
2025-01-02,17.21
2025-01-03,17.66
2025-01-06,16.77
2025-01-07,16.48
2025-01-08,17.91
2025-01-10,18.29
2025-01-13,21.18
2025-01-14,18.79
2025-01-15,19.08
2025-01-16,15.87
2025-01-17,16.19
2025-01-21,16.29
2025-01-22,14.89
2025-01-23,15.28
2025-01-24,15.02
2025-01-27,18.83
2025-01-28,18.29
2025-01-29,16.42
2025-01-30,15.93
2025-01-31,15.45
2025-02-03,20.36
2025-02-04,18.78
2025-02-05,17.54
2025-02-06,15.88
2025-02-07,15.38
2025-02-10,16.58
2025-02-11,16.13
2025-02-12,15.91
2025-02-13,15.97
2025-02-14,15.08
2025-02-18,15.57
2025-02-19,15.14
2025-02-20,15.61
2025-02-21,15.63
2025-02-24,18.08
2025-02-25,19.09
2025-02-26,18.96
2025-02-27,18.25
2025-02-28,21.21
2025-03-03,19.83
2025-03-04,22.96
2025-03-05,23.03
2025-03-06,22.6
2025-03-07,24.85
2025-03-10,24.7
2025-03-11,27.94
2025-03-12,26.88
2025-03-13,24.92
2025-03-14,24.35
2025-03-17,22.89
2025-03-18,20.83
2025-03-19,21.84
2025-03-20,19.52
2025-03-21,20.02
2025-03-24,19.13
2025-03-25,17.58
2025-03-26,17.23
2025-03-27,18.36
2025-03-28,19.08
2025-03-31,24.11
2025-04-01,22.06
2025-04-02,22.3
2025-04-03,26.38
2025-04-04,30.12
2025-04-07,60.13
2025-04-08,44.04
2025-04-09,50.98
2025-04-10,34.44
2025-04-11,40.8
2025-04-14,34.76
2025-04-15,30.01
2025-04-16,33.24
2025-04-17,30.79
2025-04-21,32.75
2025-04-22,32.61
2025-04-23,28.75
2025-04-24,28.69
2025-04-25,26.22
2025-04-28,25.75
2025-04-29,24.76
2025-04-30,24.35
2025-05-01,23.94
2025-05-02,23.63
2025-05-05,24.25
2025-05-06,23.97
2025-05-07,24.56
2025-05-08,22.84
2025-05-09,22.4
2025-05-12,19.84
2025-05-13,18.69
2025-05-14,18.1
2025-05-15,19.19
2025-05-16,17.96
2025-05-19,19.84
2025-05-20,18.46
2025-05-21,18.77
2025-05-22,20.62
2025-05-23,20.14
2025-05-27,20.63
2025-05-28,19.21
2025-05-29,18.25
2025-05-30,19.61
2025-06-02,19.81
2025-06-03,18.83
2025-06-04,17.68
2025-06-05,17.68
2025-06-06,18.16
2025-06-09,17.69
2025-06-10,17.5
2025-06-11,17.04
2025-06-12,17.87
2025-06-13,21.76
2025-06-16,19.78
2025-06-17,20.53
2025-06-18,20.9
2025-06-20,20.74
2025-06-23,21.15
2025-06-24,18.19
2025-06-25,17.28
